Date,Open,High,Low,Close,Adj Close,Volume
2010-11-18,57.579803,58.191563,57.571533,70.309998,58.125420,18322900
2010-11-19,58.034481,58.356888,57.340057,70.540001,58.315563,24116400
2010-11-22,57.951817,58.117168,56.868832,70.190002,58.026218,18907900
2010-11-23,56.877117,57.166443,56.480293,68.980003,57.025906,22672000
2010-11-24,57.249130,57.869152,57.199520,69.879997,57.769939,19335600
2010-11-26,57.290451,57.397930,56.959766,69.230003,57.232594,7324600
2010-11-29,56.926689,57.571533,56.463760,69.449997,57.414455,20021200
2010-11-30,56.670414,57.662468,56.480293,69.559998,57.505402,27524300
2010-12-01,58.183304,59.150536,58.183304,71.330002,58.968678,26590200
2010-12-02,58.852913,59.241497,58.654514,71.480003,59.092678,21274800
2010-12-03,58.704109,58.943851,58.604919,71.190002,58.852913,19457100
2010-12-06,58.861202,59.191883,58.745453,71.309998,58.952133,15985400
2010-12-07,59.448147,59.671352,59.043068,71.459999,59.076138,23694600
2010-12-08,59.415077,59.704426,59.092678,71.849998,59.398540,22654900
2010-12-09,59.563877,59.638309,58.968678,72.000000,59.522552,17971600
2010-12-10,59.671352,59.671352,59.208408,72.180000,59.671352,17699500
2010-12-13,59.861507,60.142582,59.580421,72.360001,59.820171,21170500
2010-12-14,59.712692,59.935894,59.464687,72.180000,59.671352,20625900
2010-12-15,59.415077,59.778843,59.348927,71.849998,59.398540,20979000
2010-12-16,59.456409,59.795361,59.167053,72.220001,59.704426,18513900
2010-12-17,59.613503,59.844959,59.340668,72.169998,59.663105,36761300
2010-12-20,59.720970,59.935894,59.423340,72.220001,59.704426,16045800
2010-12-21,59.878036,60.324451,59.712692,72.720001,60.117767,21772800
2010-12-22,60.299637,60.349247,60.059914,72.800003,60.183910,14606600
2010-12-23,60.299637,60.514587,60.208710,73.199997,60.514587,11390900
2010-12-27,60.192173,60.597282,60.192173,73.010002,60.357525,9757200
2010-12-28,60.514587,60.812210,60.316181,73.419998,60.696453,14423400
2010-12-29,60.688229,60.919682,60.630325,73.370003,60.655128,11797700
2010-12-30,60.589005,60.770859,60.390579,73.360001,60.646866,10790400
2010-12-31,60.481533,60.770859,60.365784,73.120003,60.448460,15273700
2011-01-03,60.944489,61.829052,60.878349,74.550003,61.630642,23320700
2011-01-04,61.762917,61.961327,61.523170,74.900002,61.919991,20028500
2011-01-05,61.729843,61.895184,61.291698,74.699997,61.754654,16550800
2011-01-06,61.919991,62.358150,61.729843,75.180000,62.151466,22525300
2011-01-07,62.176266,62.746685,62.077053,75.589996,62.490429,19297700
2011-01-10,62.110126,62.225872,61.655434,75.129997,62.110126,20766400
2011-01-11,62.019188,62.713627,62.019188,75.690002,62.573071,15805400
2011-01-12,62.779758,63.341923,62.556538,76.580002,63.308857,17363000
